TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
0,2023-01-01 00:00:31,596,1761,57.16,31,0,0,0
1,2023-01-01 00:07:56,2,316,146.0,476,0,0,0
2,2023-01-01 00:10:34,927,590,50.99,634,0,0,0
3,2023-01-01 00:10:45,568,1268,44.71,645,0,0,0
4,2023-01-01 00:13:44,541,1430,59.07,824,0,0,0
5,2023-01-01 00:25:24,508,1983,139.45,1524,0,0,0
6,2023-01-01 00:27:27,967,1237,74.32,1647,0,0,0
7,2023-01-01 00:28:07,616,1380,12.18,1687,0,0,0
8,2023-01-01 00:30:05,360,1611,92.74,1805,0,0,0
9,2023-01-01 00:32:35,183,1284,39.3,1955,0,0,0
10,2023-01-01 00:34:29,731,918,53.55,2069,0,0,0
11,2023-01-01 00:36:39,855,772,78.32,2199,0,0,0
12,2023-01-01 00:40:12,935,1213,8.37,2412,0,0,0
13,2023-01-01 00:43:59,382,360,15.35,2639,0,0,0
14,2023-01-01 00:45:51,381,1975,23.15,2751,0,0,0
15,2023-01-01 00:51:21,712,1840,20.25,3081,0,0,0
16,2023-01-01 00:57:10,975,745,16.56,3430,0,0,0
17,2023-01-01 00:57:25,426,677,82.58,3445,0,0,0
18,2023-01-01 01:00:17,893,1567,4.94,3617,0,0,0
19,2023-01-01 01:11:00,8,891,2.08,4260,0,0,0
20,2023-01-01 01:11:16,786,684,46.77,4276,0,0,0
21,2023-01-01 01:11:32,535,1674,5.83,4292,0,0,0
22,2023-01-01 01:20:57,655,49,96.89,4857,0,0,0
23,2023-01-01 01:25:06,447,916,91.8,5106,0,0,0
24,2023-01-01 01:26:30,408,733,23.41,5190,0,0,0
25,2023-01-01 01:28:30,973,335,47.74,5310,0,0,0
26,2023-01-01 01:32:39,724,971,90.91,5559,0,0,0
27,2023-01-01 01:38:24,524,1281,97.85,5904,0,0,0
28,2023-01-01 01:38:25,230,1251,18.93,5905,0,0,0
29,2023-01-01 01:51:24,731,915,57.3,6684,0,0,0
30,2023-01-01 01:54:28,955,884,40.17,6868,0,0,0
31,2023-01-01 01:54:50,569,215,88.55,6890,0,0,0
32,2023-01-01 01:55:28,474,18,10.67,6928,0,0,0
33,2023-01-01 01:56:23,398,1127,8.8,6983,0,0,0
34,2023-01-01 01:56:44,55,113,35.06,7004,0,0,0
35,2023-01-01 01:57:21,850,1639,86.04,7041,0,0,0
36,2023-01-01 01:59:15,159,1609,54.22,7155,0,0,0
37,2023-01-01 02:00:26,531,1364,49.68,7226,0,0,0
38,2023-01-01 02:00:54,865,859,42.46,7254,0,0,0
39,2023-01-01 02:07:55,749,1844,151.75,7675,0,0,0
40,2023-01-01 02:09:22,819,571,75.38,7762,0,0,0
41,2023-01-01 02:09:51,825,161,83.55,7791,0,0,0
42,2023-01-01 02:13:54,354,416,22.84,8034,0,0,0
43,2023-01-01 02:17:26,220,1965,110.42,8246,0,0,0
44,2023-01-01 02:18:04,953,653,17.3,8284,0,0,0
45,2023-01-01 02:20:28,423,595,30.29,8428,0,0,0
46,2023-01-01 02:22:02,447,649,94.1,8522,0,0,0
47,2023-01-01 02:24:16,851,1367,29.43,8656,0,0,0
48,2023-01-01 02:24:40,30,961,171.78,8680,0,0,0
49,2023-01-01 02:25:21,671,964,7.72,8721,0,0,0
50,2023-01-01 02:26:38,574,628,58.26,8798,0,0,0
51,2023-01-01 02:27:04,340,1397,31.55,8824,0,0,0
52,2023-01-01 02:28:17,497,1313,28.96,8897,0,0,0
53,2023-01-01 02:28:17,270,959,10.78,8897,0,0,0
54,2023-01-01 02:29:54,988,1616,80.62,8994,0,0,0
55,2023-01-01 02:30:00,358,1277,74.36,9000,0,0,0
56,2023-01-01 02:30:25,758,1007,13.69,9025,0,0,0
57,2023-01-01 02:33:41,177,1233,24.14,9221,0,0,0
58,2023-01-01 02:34:30,881,1740,17.33,9270,0,0,0
59,2023-01-01 02:34:59,863,1164,135.33,9299,0,0,0
60,2023-01-01 02:35:44,286,1669,19.79,9344,0,0,0
61,2023-01-01 02:35:49,865,1231,20.26,9349,0,0,0
62,2023-01-01 02:35:58,340,1918,10.24,9358,0,0,0
63,2023-01-01 02:36:35,139,1188,119.38,9395,0,0,0
64,2023-01-01 02:36:40,632,1875,33.43,9400,0,0,0
65,2023-01-01 02:37:22,204,460,73.44,9442,0,0,0
66,2023-01-01 02:42:44,884,279,46.13,9764,0,0,0
67,2023-01-01 02:42:52,856,1911,34.44,9772,0,0,0
68,2023-01-01 02:43:34,59,610,40.21,9814,0,0,0
69,2023-01-01 02:47:11,128,439,96.68,10031,0,0,0
70,2023-01-01 02:54:36,563,1730,74.29,10476,0,0,0
71,2023-01-01 02:55:03,458,1979,6.45,10503,0,0,0
72,2023-01-01 02:56:14,517,1174,44.06,10574,0,0,0
73,2023-01-01 02:57:37,418,1572,175.25,10657,0,0,0
74,2023-01-01 02:58:09,528,297,95.49,10689,0,0,0
75,2023-01-01 03:00:01,53,1503,2.32,10801,0,0,0
76,2023-01-01 03:00:54,842,214,8.84,10854,0,0,0
77,2023-01-01 03:04:19,576,1197,146.32,11059,0,0,0
78,2023-01-01 03:07:18,36,206,12.36,11238,0,0,0
79,2023-01-01 03:09:12,540,1367,56.79,11352,0,0,0
80,2023-01-01 03:10:05,930,1552,9.25,11405,0,0,0
81,2023-01-01 03:12:11,77,962,87.99,11531,0,0,0
82,2023-01-01 03:16:25,555,505,5.15,11785,0,0,0
83,2023-01-01 03:18:32,684,1385,48.97,11912,0,0,0
84,2023-01-01 03:21:54,249,94,35.61,12114,0,0,0
85,2023-01-01 03:22:53,81,1188,83.99,12173,0,0,0
86,2023-01-01 03:23:09,776,1251,57.91,12189,0,0,0
87,2023-01-01 03:25:24,461,1918,52.19,12324,0,0,0
88,2023-01-01 03:30:42,889,368,10.89,12642,0,0,0
89,2023-01-01 03:35:19,721,1597,16.27,12919,0,0,0
90,2023-01-01 03:37:49,261,465,118.23,13069,0,0,0
91,2023-01-01 03:38:04,786,810,16.37,13084,0,0,0
92,2023-01-01 03:39:01,842,943,9.18,13141,0,0,0
93,2023-01-01 03:40:23,354,106,26.61,13223,0,0,0
94,2023-01-01 03:41:00,67,1879,125.0,13260,0,0,0
95,2023-01-01 03:41:12,891,1245,84.67,13272,0,0,0
96,2023-01-01 03:41:32,454,1841,21.37,13292,0,0,0
97,2023-01-01 03:42:06,98,1043,1.71,13326,0,0,0
98,2023-01-01 03:44:19,111,1300,63.71,13459,0,0,0
99,2023-01-01 03:46:29,380,599,73.0,13589,0,0,0
100,2023-01-01 03:49:27,423,1031,15.74,13767,0,0,0
101,2023-01-01 03:50:28,532,739,6.43,13828,0,0,0
102,2023-01-01 03:51:40,204,1368,101.18,13900,0,0,0
103,2023-01-01 03:53:02,635,1912,1.93,13982,0,0,0
104,2023-01-01 03:54:58,979,1187,43.71,14098,0,0,0
105,2023-01-01 03:56:21,200,7,85.63,14181,0,0,0
106,2023-01-01 03:56:36,356,1548,34.76,14196,0,0,0
107,2023-01-01 03:57:45,873,723,7.82,14265,0,0,0
108,2023-01-01 03:58:06,284,1130,39.33,14286,0,0,0
109,2023-01-01 03:59:09,395,1051,45.94,14349,0,0,0
110,2023-01-01 03:59:19,161,1034,76.2,14359,0,0,0
111,2023-01-01 03:59:34,792,1050,120.88,14374,0,0,0
112,2023-01-01 04:00:12,38,1175,11.13,14412,0,0,0
113,2023-01-01 04:00:50,495,1130,43.42,14450,0,0,0
114,2023-01-01 04:00:55,440,142,13.16,14455,0,0,0
115,2023-01-01 04:01:00,870,1275,98.8,14460,0,0,0
116,2023-01-01 04:01:52,345,1776,113.14,14512,0,0,0
117,2023-01-01 04:04:29,818,1292,26.77,14669,0,0,0
118,2023-01-01 04:05:19,803,22,73.98,14719,0,0,0
119,2023-01-01 04:06:08,35,1864,65.09,14768,0,0,0
120,2023-01-01 04:07:19,769,89,34.19,14839,0,0,0
121,2023-01-01 04:07:58,795,1992,33.76,14878,0,0,0
122,2023-01-01 04:08:36,382,949,5.05,14916,0,0,0
123,2023-01-01 04:10:15,874,746,26.9,15015,0,0,0
124,2023-01-01 04:10:20,471,1275,5.1,15020,0,0,0
125,2023-01-01 04:10:27,632,74,29.48,15027,0,0,0
126,2023-01-01 04:10:58,131,269,46.95,15058,0,0,0
127,2023-01-01 04:11:30,247,1791,10.8,15090,0,0,0
128,2023-01-01 04:13:33,888,1434,51.37,15213,0,0,0
129,2023-01-01 04:16:18,818,1603,95.04,15378,0,0,0
130,2023-01-01 04:17:03,418,1211,110.97,15423,0,0,0
131,2023-01-01 04:17:19,476,1536,41.69,15439,0,0,0
132,2023-01-01 04:18:34,356,744,124.43,15514,0,0,0
133,2023-01-01 04:19:34,183,389,64.92,15574,0,0,0
134,2023-01-01 04:20:48,36,175,16.18,15648,0,0,0
135,2023-01-01 04:21:55,186,1896,53.31,15715,0,0,0
136,2023-01-01 04:22:03,410,138,80.97,15723,0,0,0
137,2023-01-01 04:22:37,162,1280,54.81,15757,0,0,0
138,2023-01-01 04:24:01,318,1386,61.42,15841,0,0,0
139,2023-01-01 04:24:09,388,995,22.04,15849,0,0,0
140,2023-01-01 04:25:58,658,193,42.79,15958,0,0,0
141,2023-01-01 04:26:13,148,151,42.91,15973,0,0,0
142,2023-01-01 04:27:51,424,1879,4.3,16071,0,0,0
143,2023-01-01 04:29:24,632,66,22.05,16164,0,0,0
144,2023-01-01 04:31:00,28,1512,84.23,16260,0,0,0
145,2023-01-01 04:33:57,597,585,36.06,16437,0,0,0
146,2023-01-01 04:34:01,255,1628,67.37,16441,0,0,0
147,2023-01-01 04:34:54,322,1523,41.56,16494,0,0,0
148,2023-01-01 04:37:03,69,1497,60.86,16623,0,0,0
149,2023-01-01 04:37:31,679,1182,49.37,16651,0,0,0
150,2023-01-01 04:39:10,316,1964,80.32,16750,0,0,0
151,2023-01-01 04:40:02,120,681,23.42,16802,0,0,0
152,2023-01-01 04:42:49,681,1967,52.95,16969,0,0,0
153,2023-01-01 04:43:00,139,1927,70.87,16980,0,0,0
154,2023-01-01 04:43:00,880,70,68.89,16980,0,0,0
155,2023-01-01 04:43:14,303,559,55.83,16994,0,0,0
156,2023-01-01 04:45:06,114,1265,27.86,17106,0,0,0
157,2023-01-01 04:46:53,605,1531,27.71,17213,0,0,0
158,2023-01-01 04:47:00,349,1865,129.55,17220,0,0,0
159,2023-01-01 04:47:24,157,724,14.93,17244,0,0,0
160,2023-01-01 04:48:19,951,363,17.11,17299,0,0,0
161,2023-01-01 04:49:17,167,640,24.29,17357,0,0,0
162,2023-01-01 04:49:26,67,194,72.81,17366,0,0,0
163,2023-01-01 04:50:20,635,1325,35.82,17420,0,0,0
164,2023-01-01 04:51:07,212,1012,58.71,17467,0,0,0
165,2023-01-01 04:54:55,140,1589,116.7,17695,0,0,0
166,2023-01-01 04:55:18,541,1675,14.76,17718,0,0,0
167,2023-01-01 04:57:04,390,414,10.27,17824,0,0,0
168,2023-01-01 04:57:54,650,429,81.56,17874,0,0,0
169,2023-01-01 04:58:10,778,821,27.36,17890,0,0,0
170,2023-01-01 05:01:56,959,1480,27.54,18116,0,0,0
171,2023-01-01 05:02:58,768,246,91.79,18178,0,0,0
172,2023-01-01 05:04:21,25,411,11.32,18261,0,0,0
173,2023-01-01 05:05:03,22,545,19.85,18303,0,0,0
174,2023-01-01 05:05:50,632,820,28.15,18350,0,0,0
175,2023-01-01 05:07:09,738,518,17.83,18429,0,0,0
176,2023-01-01 05:07:37,870,1275,106.67,18457,0,0,0
177,2023-01-01 05:08:05,912,1380,86.42,18485,0,0,0
178,2023-01-01 05:09:52,630,782,114.3,18592,0,0,0
179,2023-01-01 05:10:17,354,416,9.21,18617,0,0,0
180,2023-01-01 05:12:01,789,378,83.75,18721,0,0,0
181,2023-01-01 05:12:10,412,1500,31.76,18730,0,0,0
182,2023-01-01 05:13:21,925,74,74.64,18801,0,0,0
183,2023-01-01 05:13:32,840,576,31.06,18812,0,0,0
184,2023-01-01 05:14:01,318,1383,151.11,18841,0,0,0
185,2023-01-01 05:15:50,329,684,48.95,18950,0,0,0
186,2023-01-01 05:18:57,802,1407,67.08,19137,0,0,0
187,2023-01-01 05:19:13,656,1924,54.9,19153,0,0,0
188,2023-01-01 05:20:20,312,1907,67.41,19220,0,0,0
189,2023-01-01 05:22:02,81,1062,107.43,19322,0,0,0
190,2023-01-01 05:22:31,493,1254,3.04,19351,0,0,0
191,2023-01-01 05:22:46,625,757,30.23,19366,0,0,0
192,2023-01-01 05:22:46,152,1202,20.26,19366,0,0,0
193,2023-01-01 05:23:25,771,1426,14.9,19405,0,0,0
194,2023-01-01 05:24:21,383,1404,40.85,19461,0,0,0
195,2023-01-01 05:24:27,98,1043,1.0,19467,0,0,0
196,2023-01-01 05:24:52,271,976,13.55,19492,0,0,0
197,2023-01-01 05:25:26,462,1977,20.98,19526,0,0,0
198,2023-01-01 05:25:47,924,1341,80.58,19547,0,0,0
199,2023-01-01 05:27:57,213,504,183.17,19677,0,0,0
200,2023-01-01 05:28:34,255,836,52.18,19714,0,0,0
201,2023-01-01 05:28:35,714,1949,77.71,19715,0,0,0
202,2023-01-01 05:29:59,144,1394,71.77,19799,0,0,0
203,2023-01-01 05:30:27,890,1304,161.88,19827,0,0,0
204,2023-01-01 05:31:21,122,1632,52.13,19881,0,0,0
205,2023-01-01 05:33:16,690,557,69.3,19996,0,0,0
206,2023-01-01 05:34:10,724,309,70.62,20050,0,0,0
207,2023-01-01 05:34:23,4,774,92.78,20063,0,0,0
208,2023-01-01 05:34:30,826,829,100.64,20070,0,0,0
209,2023-01-01 05:34:35,515,637,62.46,20075,0,0,0
210,2023-01-01 05:35:24,488,115,21.67,20124,0,0,0
211,2023-01-01 05:35:26,155,1042,63.52,20126,0,0,0
212,2023-01-01 05:35:51,694,291,27.19,20151,0,0,0
213,2023-01-01 05:35:51,515,637,72.15,20151,0,0,0
214,2023-01-01 05:36:05,833,1468,19.94,20165,0,0,0
215,2023-01-01 05:36:35,64,1248,202.06,20195,0,0,0
216,2023-01-01 05:37:16,437,1411,95.42,20236,0,0,0
217,2023-01-01 05:37:28,859,1429,23.5,20248,0,0,0
218,2023-01-01 05:37:44,477,1828,15.14,20264,0,0,0
219,2023-01-01 05:38:09,81,1188,74.98,20289,0,0,0
220,2023-01-01 05:38:10,865,1956,35.95,20290,0,0,0
221,2023-01-01 05:38:56,181,803,27.11,20336,0,0,0
222,2023-01-01 05:38:58,833,1468,40.87,20338,0,0,0
223,2023-01-01 05:39:05,452,1000,67.81,20345,0,0,0
224,2023-01-01 05:39:11,770,757,124.37,20351,0,0,0
225,2023-01-01 05:39:13,134,583,48.95,20353,0,0,0
226,2023-01-01 05:39:28,188,747,53.29,20368,0,0,0
227,2023-01-01 05:41:11,720,88,123.08,20471,0,0,0
228,2023-01-01 05:42:54,183,319,71.08,20574,0,0,0
229,2023-01-01 05:44:37,912,1955,84.02,20677,0,0,0
230,2023-01-01 05:44:42,333,1494,18.6,20682,0,0,0
231,2023-01-01 05:44:48,301,1877,76.03,20688,0,0,0
232,2023-01-01 05:46:07,803,30,78.77,20767,0,0,0
233,2023-01-01 05:46:20,497,1860,20.09,20780,0,0,0
234,2023-01-01 05:46:46,638,1682,66.16,20806,0,0,0
235,2023-01-01 05:48:31,206,380,30.82,20911,0,0,0
236,2023-01-01 05:48:39,400,1143,26.82,20919,0,0,0
237,2023-01-01 05:50:15,563,1187,25.06,21015,0,0,0
238,2023-01-01 05:51:21,1,1460,8.04,21081,0,0,0
239,2023-01-01 05:51:46,791,225,62.82,21106,0,0,0
240,2023-01-01 05:52:07,134,1999,69.6,21127,0,0,0
241,2023-01-01 05:52:15,579,1040,58.22,21135,0,0,0
242,2023-01-01 05:52:41,447,1237,106.35,21161,0,0,0
